id_autor,id_documento,id_principal,nome,tipo_autor,uri_autor,casa,partido,uf,cod_tipo_autor
107283,2263453,2263453,Gleisi Hoffmann,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/107283,camara,PT,PR,10000
107283,2263599,2263453,Gleisi Hoffmann,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/107283,camara,PT,PR,10000
121948,2230290,2193334,Adriano Do Baldy,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/121948,camara,PP,GO,10000
121948,2230291,2193334,Adriano Do Baldy,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/121948,camara,PP,GO,10000
132504,2263599,2263453,Enio Verri,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/132504,camara,PT,NA,10000
132504,2263453,2263453,Enio Verri,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/132504,camara,PT,NA,10000
132504,2263512,2263448,Enio Verri,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/132504,camara,PT,NA,10000
132504,2264293,2264144,Enio Verri,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/132504,camara,PT,NA,10000
132504,2263598,2263453,Enio Verri,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/132504,camara,PT,NA,10000
133439,2263452,2263452,André Figueiredo,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/133439,camara,PDT,CE,10000
134812,2263463,2263463,Edmilson Rodrigues,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/134812,camara,PSOL,PA,10000
134812,2263490,2263463,Edmilson Rodrigues,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/134812,camara,PSOL,PA,10000
134812,2263496,2263463,Edmilson Rodrigues,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/134812,camara,PSOL,PA,10000
139285,2263824,2263448,Lídice Da Mata,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/139285,camara,PSB,BA,10000
139285,2231918,2231918,Lídice Da Mata,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/139285,camara,PSB,BA,10000
139285,2263448,2263448,Lídice Da Mata,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/139285,camara,PSB,BA,10000
141335,2263599,2263453,Beto Faro,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/141335,camara,PT,PA,10000
141335,2263453,2263453,Beto Faro,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/141335,camara,PT,PA,10000
141470,2263453,2263453,José Guimarães,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/141470,camara,PT,CE,10000
141470,2227140,2227140,José Guimarães,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/141470,camara,PT,CE,10000
141470,2263599,2263453,José Guimarães,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/141470,camara,PT,CE,10000
141470,2263598,2263453,José Guimarães,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/141470,camara,PT,CE,10000
141470,2237825,2237825,José Guimarães,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/141470,camara,PT,CE,10000
141470,2237825,2237205,José Guimarães,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/141470,camara,PT,CE,10000
141488,2263599,2263453,Paulo Teixeira,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/141488,camara,PT,SP,10000
141488,2263598,2263453,Paulo Teixeira,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/141488,camara,PT,SP,10000
141488,2263453,2263453,Paulo Teixeira,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/141488,camara,PT,SP,10000
141523,2219094,2219094,Raul Henry,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/141523,camara,MDB,PE,10000
146307,2229783,2195635,Neri Geller,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/146307,camara,PP,MT,10000
146307,2229761,2195635,Neri Geller,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/146307,camara,PP,MT,10000
152605,2263496,2263463,Glauber Braga,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/152605,camara,PSOL,RJ,10000
152605,2263463,2263463,Glauber Braga,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/152605,camara,PSOL,RJ,10000
157130,2263453,2263453,Túlio Gadêlha,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/157130,camara,PDT,PE,10000
157130,2263598,2263453,Túlio Gadêlha,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/157130,camara,PDT,PE,10000
157130,2263448,2263448,Túlio Gadêlha,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/157130,camara,PDT,PE,10000
157130,2263824,2263448,Túlio Gadêlha,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/157130,camara,PDT,PE,10000
160508,2263453,2263453,Afonso Florence,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/160508,camara,PT,BA,10000
160508,2263598,2263453,Afonso Florence,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/160508,camara,PT,BA,10000
160508,2263599,2263453,Afonso Florence,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/160508,camara,PT,BA,10000
160511,2263512,2263448,Alessandro Molon,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/160511,camara,PSB,RJ,10000
160511,2263824,2263448,Alessandro Molon,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/160511,camara,PSB,RJ,10000
160511,2231918,2231918,Alessandro Molon,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/160511,camara,PSB,RJ,10000
160511,2264293,2264144,Alessandro Molon,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/160511,camara,PSB,RJ,10000
160511,2252159,2252113,Alessandro Molon,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/160511,camara,PSB,RJ,10000
160511,2252159,2252159,Alessandro Molon,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/160511,camara,PSB,RJ,10000
160511,2259826,2259826,Alessandro Molon,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/160511,camara,PSB,RJ,10000
160511,2263448,2263448,Alessandro Molon,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/160511,camara,PSB,RJ,10000
160528,2263448,2263448,Danilo Cabral,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/160528,camara,PSB,PE,10000
160528,2263824,2263448,Danilo Cabral,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/160528,camara,PSB,PE,10000
